Board Vector,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Move Predictions,-,-,-,-,-,-,Position Rating,Game Result,Game Length,Game Index
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01442,0.01634,0.05284,0.85668,0.03386,0.014,0.01186,0.20565,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1706,0.19066,0.10212,0.03716,0.12012,0.23448,0.14486,-0.210628,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0.03184,0.11432,0.03604,0.50342,0.19606,0.07508,0.04324,0.298439,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,1,0,0,0,0.16384,0.03028,0.409,0.01576,0.08704,0.08654,0.20754,-0.366748,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,1,0,0,0,0.02798,0.62028,0.06804,0.08602,0.05916,0.05852,0.08,0.553369,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-1,-1,1,0,0,0,0.16342,0.23366,0.03736,0.07576,0.09074,0.17588,0.22318,-0.341967,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,-1,-1,1,0,0,0,0.0239,0.03826,0.5789,0.2815,0.02722,0.02696,0.02326,0.731505,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,-1,-1,1,0,0,0,0.99976,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,0.720545,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,-1,-1,-1,1,0,0,0,0.23884,0.48672,0.02698,0.12156,0.07154,0.02818,0.02618,0.755136,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,1,1,0,0,0,-1,-1,-1,1,0,0,0,0.05514,0.41202,0.36536,0.07022,0.0001,0.05256,0.0446,0.169739,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,1,1,0,0,0,-1,-1,-1,1,0,-1,0,0.04322,0.7152,0.03048,0.1567,0.022,0.02334,0.00906,0.898551,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,1,1,1,0,0,0,-1,-1,-1,1,0,-1,0,0.99974,6e-05,4e-05,4e-05,4e-05,4e-05,4e-05,0.784632,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,1,1,1,0,0,0,-1,-1,-1,1,0,-1,0,0.00516,0.0933,0.01484,0.8598,0.01122,0.0075,0.00818,0.947025,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,1,0,0,0,-1,1,1,1,0,0,0,-1,-1,-1,1,0,-1,0,2e-05,0.99976,2e-05,8e-05,2e-05,2e-05,8e-05,1,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,0,1,0,0,0,-1,1,1,1,0,0,0,-1,-1,-1,1,0,-1,0,0.01366,0.01678,0.45614,0.45612,0.02398,0.01254,0.02078,1,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01384,0.03208,0.04276,0.80594,0.07196,0.01888,0.01454,0.195136,1,35,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.18824,0.25632,0.0937,0.04382,0.08146,0.15436,0.1821,-0.194881,1,35,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0.11286,0.08772,0.05284,0.25752,0.4472,0.02058,0.02128,0.251592,1,35,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0.05434,0.0299,0.05028,0.01316,0.01486,0.51768,0.31978,-0.347373,1,35,1
